"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"ID","Date 1","Date 2","OCID 1","OCID 2","OCID status","Country 1","Country 2","Country Status","Category 1","Category 2","Category Status","Associated doc 1","Associated doc 2","Associated doc status"
"715","2016-06-30-13-00-15","2016-07-01-01-00-23","ocds-591adf-UG1486476549RC","ocds-591adf-UG0236825703RC-715","No","UG","UG","Yes","rc","rc","Yes","1","1","Yes"
"1890","2016-07-08-13-00-18","2016-07-09-01-00-21","ocds-591adf-CG7799700327OL","ocds-591adf-CD7799700327OL","No","CG","CD","No","olc","olc","Yes","0","0","Yes"
"9","2016-07-13-13-00-18","2016-07-14-01-00-20","ocds-591adf-CD4050268030RC","ocds-591adf-CD9589656959RC","No","CD","CD","Yes","rc","rc","Yes","1","0","No"
"822","2016-07-13-13-00-18","2016-07-14-01-00-20","ocds-591adf-TN4377571199RC","ocds-591adf-TN9345189209RC-822","No","TN","TN","Yes","rc","rc","Yes","0","1","No"
"823","2016-07-13-13-00-18","2016-07-14-01-00-20","ocds-591adf-TN0944275107RC","ocds-591adf-TN9345189209RC-823","No","TN","TN","Yes","rc","rc","Yes","0","1","No"
"1336","2016-07-18-01-02-24","2016-07-18-13-02-11","ocds-591adf-CN2695997088RC","ocds-591adf-CN3823060501RC-1336","No","CN","CN","Yes","rc","rc","Yes","1","1","Yes"
"152","2016-07-22-13-00-19","2016-07-23-01-00-22","ocds-591adf-KE3957636749RC","ocds-591adf-KE1808194337RC-152","No","KE","KE","Yes","rc","rc","Yes","1","1","Yes"
"1901","2016-07-25-13-00-20","2016-07-26-01-00-21","ocds-591adf-CD3126750349OL","ocds-591adf-CD7708624801OL-1901","No","CD","CD","Yes","olc","olc","Yes","0","1","No"
"1914","2016-07-26-13-00-20","2016-07-27-01-00-24","ocds-591adf-CD4000611068OL","ocds-591adf-CD7708624801OL-1914","No","CD","CD","Yes","olc","olc","Yes","1","1","Yes"
"1210","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CG6620825816RC-1209-1210","ocds-591adf-CG5360745178RC-1210","No","CG","CG","Yes","rc","rc","Yes","1","1","Yes"
"1209","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CG6620825816RC-1209","ocds-591adf-CG5360745178RC","No","CG","CG","Yes","rc","rc","Yes","1","0","No"
"1377","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CD5446787656RC-1372-1377-1372-1377","ocds-591adf-CD8935407059RC-1377","No","CD","CD","Yes","rc","rc","Yes","1","1","Yes"
"116","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CG6620825816RC-1209-116","ocds-591adf-CG6620825816RC-1209-116-1209-116","No","CG","CG","Yes","rc","rc","Yes","1","1","Yes"
"765","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CN2401465011RC-1339-1338-765","ocds-591adf-CN8430706154RC-765","No","CN","CN","Yes","rc","rc","Yes","1","1","Yes"
"1372","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CD5446787656RC-1372-1377-1372-1377-1372","ocds-591adf-CD8935407059RC","No","CD","CD","Yes","rc","rc","Yes","1","0","No"
"1339","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CN8585698303RC","ocds-591adf-CN8430706154RC-1339","No","CN","CN","Yes","rc","rc","Yes","0","1","No"
"1338","2016-08-08-01-00-21","2016-08-08-13-00-19","ocds-591adf-CN8585698303RC-1338","ocds-591adf-CN8430706154RC","No","CN","CN","Yes","rc","rc","Yes","1","0","No"
"194","2016-08-09-13-00-20","2016-08-10-01-00-21","ocds-591adf-NG3822801328RC","ocds-591adf-NG2298096766RC-194","No","NG","NG","Yes","rc","rc","Yes","1","1","Yes"
